Reference,Pin,Pin_name,Net,Board,Local_x_mm,Local_y_mm
C9,1,1,I_LOAD,B,64.46,30.0
C9,1,1,I_LOAD,B,65.1,30.0
C9,2,2,GND,B,68.9,30.0
C9,2,2,GND,B,69.54,30.0
J1,1,3V3,+3V3,A,28.0,12.0
J1,2,EN,unconnected-(J1-EN-Pad2),A,28.0,14.54
J1,3,GPIO36,unconnected-(J1-GPIO36-Pad3),A,28.0,17.08
J1,4,GPIO39,unconnected-(J1-GPIO39-Pad4),A,28.0,19.62
J1,5,GPIO34,unconnected-(J1-GPIO34-Pad5),A,28.0,22.16
J1,6,GPIO35,unconnected-(J1-GPIO35-Pad6),A,28.0,24.7
J1,7,GPIO32,BTN,A,28.0,27.24
J1,8,GPIO33,SENS_PWR,A,28.0,29.78
J1,9,GPIO25,SW1_ON,A,28.0,32.32
J1,10,GPIO26,SW2_ON,A,28.0,34.86
J1,11,GPIO27,K1,A,28.0,37.4
J1,12,GPIO14,unconnected-(J1-GPIO14-Pad12),A,28.0,39.94
J1,13,GPIO12,unconnected-(J1-GPIO12-Pad13),A,28.0,42.48
J1,14,GND,GND,A,28.0,45.02
J1,15,GPIO13,K2,A,28.0,47.56
J1,16,GPIO9,unconnected-(J1-GPIO9-Pad16),A,28.0,50.1
J1,17,GPIO10,unconnected-(J1-GPIO10-Pad17),A,28.0,52.64
J1,18,GPIO11,unconnected-(J1-GPIO11-Pad18),A,28.0,55.18
J1,19,VIN,+5V,A,28.0,57.72
J1,20,GND,GND,A,53.4,12.0
J1,21,GPIO23,MOSI,A,53.4,14.54
J1,22,GPIO22,SCL,A,53.4,17.08
J1,23,GPIO1,unconnected-(J1-GPIO1-Pad23),A,53.4,19.62
J1,24,GPIO3,unconnected-(J1-GPIO3-Pad24),A,53.4,22.16
J1,25,GPIO21,SDA,A,53.4,24.7
J1,26,GND,GND,A,53.4,27.24
J1,27,GPIO19,MISO,A,53.4,29.78
J1,28,GPIO18,SCK,A,53.4,32.32
J1,29,GPIO5,CS,A,53.4,34.86
J1,30,GPIO17,DPS_TX,A,53.4,37.4
J1,31,GPIO16,DPS_RX,A,53.4,39.94
J1,32,GPIO4,OW,A,53.4,42.48
J1,33,GPIO0,unconnected-(J1-GPIO0-Pad33),A,53.4,45.02
J1,34,GPIO2,unconnected-(J1-GPIO2-Pad34),A,53.4,47.56
J1,35,GPIO15,unconnected-(J1-GPIO15-Pad35),A,53.4,50.1
J1,36,GPIO8,unconnected-(J1-GPIO8-Pad36),A,53.4,52.64
J1,37,GPIO7,unconnected-(J1-GPIO7-Pad37),A,53.4,55.18
J1,38,GPIO6,unconnected-(J1-GPIO6-Pad38),A,53.4,57.72
J6,1,1,GND,A,14.96,31.0
J6,2,2,SW1_ON,A,17.5,31.0
J24,1,GND,GND,C,35.0,10.0
J24,2,+3V3_SENS,+3V3_SENS,C,35.0,12.54
J8,1,2,RELAY_IN1,D,48.0,32.0
J8,2,1,GND,D,50.54,32.0
J8,3,3,RELAY_IN2,D,53.08,32.0
J8,4,4,+5V_RELAY_VCC,D,55.62,32.0
J8,5,5,+5V_RELAY_COIL,D,58.16,32.0
R17,1,1,SCL,A,72.0,27.9
R17,2,2,+3V3,A,72.0,24.1
C11,1,1,+3V3,C,14.46,7.0
C11,1,1,+3V3,C,15.1,7.0
C11,2,2,GND,C,18.9,7.0
C11,2,2,GND,C,19.54,7.0
J23,1,+3V3,+3V3,C,7.0,10.0
J23,2,GND,GND,C,7.0,12.54
J23,3,SENS_PWR,SENS_PWR,C,7.0,15.08
R12,1,1,K1,A,24.9,37.4
R12,2,2,BASE1,A,21.1,37.4
R18,1,1,OW,A,61.2,54.0
R18,2,2,+3V3,A,65.0,54.0
R15,1,1,BASE2,A,17.0,59.1
R15,2,2,GND,A,17.0,62.9
J11,1,2,GND,A,10.0,39.0
J11,2,1,BTN,A,12.54,39.0
J28,1,RELAY_IN1,RELAY_IN1,A,7.0,68.0
J28,2,RELAY_IN2,RELAY_IN2,A,9.54,68.0
J28,3,GND,GND,A,12.08,68.0
J25,1,GND,GND,B,6.0,35.0
J25,2,+3V3_SENS,+3V3_SENS,B,8.54,35.0
J5,1,VCC,+3V3_SENS,B,65.0,57.0
J5,2,VOUT,I_RAW3,B,67.54,57.0
J5,3,GND,GND,B,70.08,57.0
