Ref,Board,Net,X1_mm,Y1_mm,X2_mm,Y2_mm,Min_length_mm,End1_contact,End2_contact
WA1,A,+3V3,28.0,12.0,18.0,39.94,29.68,J1.1,J22.1
WA2,A,GND,64.0,14.54,72.0,14.54,8.0,J20.2,J21.2
WA3,A,GND,14.96,34.0,20.54,39.94,8.15,J7.1,J22.2
WA4,A,SCL,64.0,17.08,72.0,17.08,8.0,J20.3,J21.3
WA5,A,SCL,72.0,17.08,72.0,27.9,10.82,J21.3,R17.1
