Ref,Board,Net,X1_mm,Y1_mm,X2_mm,Y2_mm,Min_length_mm
WA1,A,+3V3,69.0,29.0,69.0,17.0,12.0
WA2,A,SDA,69.0,36.62,69.0,24.62,12.0
WA3,A,SENS_PWR,15.08,40.0,28.0,39.94,12.92
WA4,A,SW1_ON,15.46,32.32,28.0,32.32,12.54
