Reference,Pin,Pin_name,Net,Board,Local_x_mm,Local_y_mm
J1,21,GPIO23,MOSI,A,57.4,14.54
J1,22,GPIO22,SCL,A,57.4,17.08
J1,23,GPIO1,unconnected-(J1-GPIO1-Pad23),A,57.4,19.62
J1,24,GPIO3,unconnected-(J1-GPIO3-Pad24),A,57.4,22.16
J1,25,GPIO21,SDA,A,57.4,24.7
J1,26,GND,GND,A,57.4,27.24
J1,27,GPIO19,MISO,A,57.4,29.78
J1,28,GPIO18,SCK,A,57.4,32.32
J1,29,GPIO5,CS,A,57.4,34.86
J1,30,GPIO17,DPS_TX,A,57.4,37.4
J1,31,GPIO16,DPS_RX,A,57.4,39.94
J1,32,GPIO4,OW,A,57.4,42.48
J1,33,GPIO0,unconnected-(J1-GPIO0-Pad33),A,57.4,45.02
J1,34,GPIO2,unconnected-(J1-GPIO2-Pad34),A,57.4,47.56
J1,35,GPIO15,unconnected-(J1-GPIO15-Pad35),A,57.4,50.1
J1,36,GPIO8,unconnected-(J1-GPIO8-Pad36),A,57.4,52.64
J1,37,GPIO7,unconnected-(J1-GPIO7-Pad37),A,57.4,55.18
J1,38,GPIO6,unconnected-(J1-GPIO6-Pad38),A,57.4,57.72
Q3,1,C,+3V3_SENS,A,11.46,40.5
Q3,2,B,BASE3,A,14.0,43.04
Q3,3,E,+3V3,A,16.54,40.5
R11,1,1,BASE3,A,18.1,43.5
R11,2,2,+3V3,A,21.9,43.5
J7,1,1,GND,A,21.0,35.8
J7,2,2,SW2_ON,A,18.46,35.8
X5,1,1,LOAD+,A,5.0,24.0
C7,1,1,I_B1,A,77.0,41.76
C7,1,1,I_B1,A,77.0,42.4
C7,2,2,GND,A,77.0,46.2
C7,2,2,GND,A,77.0,46.84
R15,1,1,BASE2,A,20.0,59.1
R15,2,2,GND,A,20.0,62.9
R9,1,1,I_RAW3,A,15.1,14.54
R9,2,2,I_LOAD,A,18.9,14.54
VD2,1,K,VIN_DC,A,73.19,68.5
VD2,2,A,B2,A,80.81,68.5
C8,1,1,I_B2,A,89.0,44.96
C8,1,1,I_B2,A,89.0,45.6
C8,2,2,GND,A,89.0,49.4
C8,2,2,GND,A,89.0,50.04
