Module,Address,ADDR,ALRT,A2_A3,Local_100n_VDD_GND
J2,0x48,GND,NC,U_B1;U_B2,C6
J13,0x49,VDD_3V3_REMOVE_GND_STRAP,NC,GND;GND,C10
