Ref,Board,Net,X1_mm,Y1_mm,X2_mm,Y2_mm,Min_length_mm
WA1,A,+3V3,28.0,12.0,18.0,39.94,29.68
WA2,A,GND,64.0,14.54,72.0,14.54,8.0
WA3,A,GND,14.96,34.0,20.54,39.94,8.15
WA4,A,SCL,64.0,17.08,72.0,17.08,8.0
WA5,A,SCL,72.0,17.08,72.0,27.9,10.82
